dataset_name,head_train_mode,adapter_bottleneck,backbone_pretrained,num_clients,alpha,replay,replay_per_class,mu,method_a,fl_algo_a,method_b,fl_algo_b,label_a,label_b,n_common_seeds,common_seeds,metric,better_direction,n_pairs_used,mean_a,mean_b,mean_diff_a_minus_b,std_diff,effect_size_paired_dz,p_value,significant_p_lt_0_05,winner,fdr_significant_bh_0_05
cifar10,current,16,False,10,0.7,False,0,0.0,FULL_FEDAVG,FEDAVG,SHARED_ADAPTER,FEDAVG,FULL_FEDAVG|FEDAVG,SHARED_ADAPTER|FEDAVG,3,"42,43,44",avg_cpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,FULL_FEDAVG,FEDAVG,TASK_ADAPTER,FEDAVG,FULL_FEDAVG|FEDAVG,TASK_ADAPTER|FEDAVG,3,"42,43,44",avg_cpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,FULL_FEDAVG,FEDAVG,TRUE_FEDAVG,FEDAVG,FULL_FEDAVG|FEDAVG,TRUE_FEDAVG|FEDAVG,3,"42,43,44",avg_cpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,SHARED_ADAPTER,FEDAVG,TASK_ADAPTER,FEDAVG,SHARED_ADAPTER|FEDAVG,TASK_ADAPTER|FEDAVG,3,"42,43,44",avg_cpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,SHARED_ADAPTER,FEDAVG,TRUE_FEDAVG,FEDAVG,SHARED_ADAPTER|FEDAVG,TRUE_FEDAVG|FEDAVG,3,"42,43,44",avg_cpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,TASK_ADAPTER,FEDAVG,TRUE_FEDAVG,FEDAVG,TASK_ADAPTER|FEDAVG,TRUE_FEDAVG|FEDAVG,3,"42,43,44",avg_cpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,FULL_FEDAVG,FEDAVG,SHARED_ADAPTER,FEDAVG,FULL_FEDAVG|FEDAVG,SHARED_ADAPTER|FEDAVG,3,"42,43,44",avg_gpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,FULL_FEDAVG,FEDAVG,TASK_ADAPTER,FEDAVG,FULL_FEDAVG|FEDAVG,TASK_ADAPTER|FEDAVG,3,"42,43,44",avg_gpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,FULL_FEDAVG,FEDAVG,TRUE_FEDAVG,FEDAVG,FULL_FEDAVG|FEDAVG,TRUE_FEDAVG|FEDAVG,3,"42,43,44",avg_gpu_util,lower,0,,,,,,,False,NA,False
cifar10,current,16,False,10,0.7,False,0,0.0,SHARED_ADAPTER,FEDAVG,TASK_ADAPTER,FEDAVG,SHARED_ADAPTER|FEDAVG,TASK_ADAPTER|FEDAVG,3,"42,43,44",avg_gpu_util,lower,0,,,,,,,False,NA,False
