dataset,method,fl_algo,head_train_mode,adapter_bottleneck,trainable_scope,evaluation_protocol,backbone_pretrained,backbone_frozen,task_id_known_at_inference,num_clients,alpha,replay,replay_per_class,mu,n_seeds,final_accuracy,final_accuracy_ci95,final_forgetting,final_forgetting_ci95,final_bwt,final_bwt_ci95,final_fwt,final_fwt_ci95,peak_drop,peak_drop_ci95,plasticity,plasticity_ci95,stability,stability_ci95,stability_peak,stability_peak_ci95,plasticity_stability_hmean,plasticity_stability_hmean_ci95,plasticity_stability_peak_hmean,plasticity_stability_peak_hmean_ci95,client_mean_acc,client_mean_acc_ci95,client_acc_std,client_acc_std_ci95,client_worst_acc,client_worst_acc_ci95,client_best_acc,client_best_acc_ci95,acc_per_comm_mb,acc_per_comm_mb_ci95,communication_mb,communication_mb_ci95,runtime_min,runtime_min_ci95,avg_power_w,avg_power_w_ci95,peak_power_w,peak_power_w_ci95,energy_j,energy_j_ci95,avg_cpu_util,avg_cpu_util_ci95,avg_gpu_util,avg_gpu_util_ci95,peak_ram_mb,peak_ram_mb_ci95
cifar10,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.5039 ± 0.0055,"0.5039 ± 0.0055 [95% CI: 0.4995, 0.5082]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.5039 ± 0.0055,"0.5039 ± 0.0055 [95% CI: 0.4995, 0.5082]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.6701 ± 0.0048,"0.6701 ± 0.0048 [95% CI: 0.6662, 0.6739]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0515 ± 0.0006,"0.0515 ± 0.0006 [95% CI: 0.0510, 0.0519]",9.78,"[95% CI: 9.78, 9.78]",11.11,"[95% CI: 8.55, 13.67]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.5057 ± 0.0094,"0.5057 ± 0.0094 [95% CI: 0.4982, 0.5133]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.3848 ± 0.0170,"-0.3848 ± 0.0170 [95% CI: -0.3985, -0.3712]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.5057 ± 0.0094,"0.5057 ± 0.0094 [95% CI: 0.4982, 0.5133]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.6717 ± 0.0082,"0.6717 ± 0.0082 [95% CI: 0.6651, 0.6783]",0.6750 ± 0.0114,"0.6750 ± 0.0114 [95% CI: 0.6659, 0.6842]",0.8250 ± 0.0285,"0.8250 ± 0.0285 [95% CI: 0.8022, 0.8479]",0.0728 ± 0.0064,"0.0728 ± 0.0064 [95% CI: 0.0677, 0.0780]",0.6997 ± 0.0387,"0.6997 ± 0.0387 [95% CI: 0.6687, 0.7307]",0.9431 ± 0.0211,"0.9431 ± 0.0211 [95% CI: 0.9262, 0.9600]",0.0517 ± 0.0010,"0.0517 ± 0.0010 [95% CI: 0.0509, 0.0525]",9.78,"[95% CI: 9.78, 9.78]",14.18,"[95% CI: 13.57, 14.79]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.4999 ± 0.0018,"0.4999 ± 0.0018 [95% CI: 0.4985, 0.5014]",0.0020 ± 0.0016,"0.0020 ± 0.0016 [95% CI: 0.0007, 0.0033]",NaN,NaN,NaN,NaN,NaN,NaN,0.4999 ± 0.0018,"0.4999 ± 0.0018 [95% CI: 0.4985, 0.5014]",0.9980 ± 0.0016,"0.9980 ± 0.0016 [95% CI: 0.9967, 0.9993]",NaN,NaN,0.6662 ± 0.0018,"0.6662 ± 0.0018 [95% CI: 0.6648, 0.6676]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119 ± 0.0000,"0.0119 ± 0.0000 [95% CI: 0.0119, 0.0119]",42.04,"[95% CI: 42.04, 42.04]",11.27,"[95% CI: 8.58, 13.96]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.5017 ± 0.0027,"0.5017 ± 0.0027 [95% CI: 0.4996, 0.5039]",0.0003 ± 0.0005,"0.0003 ± 0.0005 [95% CI: -0.0001, 0.0007]",-0.0002 ± 0.0006,"-0.0002 ± 0.0006 [95% CI: -0.0007, 0.0003]",-0.4130 ± 0.0656,"-0.4130 ± 0.0656 [95% CI: -0.4655, -0.3604]",0.0005 ± 0.0004,"0.0005 ± 0.0004 [95% CI: 0.0002, 0.0009]",0.5017 ± 0.0027,"0.5017 ± 0.0027 [95% CI: 0.4996, 0.5039]",0.9997 ± 0.0005,"0.9997 ± 0.0005 [95% CI: 0.9993, 1.0001]",0.9995 ± 0.0004,"0.9995 ± 0.0004 [95% CI: 0.9991, 0.9998]",0.6681 ± 0.0024,"0.6681 ± 0.0024 [95% CI: 0.6662, 0.6701]",0.6678 ± 0.0021,"0.6678 ± 0.0021 [95% CI: 0.6661, 0.6694]",0.7655 ± 0.0333,"0.7655 ± 0.0333 [95% CI: 0.7389, 0.7922]",0.0861 ± 0.0081,"0.0861 ± 0.0081 [95% CI: 0.0796, 0.0926]",0.6003 ± 0.0195,"0.6003 ± 0.0195 [95% CI: 0.5847, 0.6159]",0.8917 ± 0.0331,"0.8917 ± 0.0331 [95% CI: 0.8652, 0.9182]",0.0119 ± 0.0001,"0.0119 ± 0.0001 [95% CI: 0.0119, 0.0120]",42.04,"[95% CI: 42.04, 42.04]",14.19,"[95% CI: 13.50, 14.87]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.5000 ± 0.0001,"0.5000 ± 0.0001 [95% CI: 0.5000, 0.5001]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.5000 ± 0.0001,"0.5000 ± 0.0001 [95% CI: 0.5000, 0.5001]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.6667 ± 0.0000,"0.6667 ± 0.0000 [95% CI: 0.6667, 0.6667]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119 ± 0.0000,"0.0119 ± 0.0000 [95% CI: 0.0119, 0.0119]",42.04,"[95% CI: 42.04, 42.04]",10.87,"[95% CI: 8.53, 13.21]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.5118 ± 0.0131,"0.5118 ± 0.0131 [95% CI: 0.5013, 0.5223]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.4583 ± 0.0722,"-0.4583 ± 0.0722 [95% CI: -0.5161, -0.4006]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.5118 ± 0.0131,"0.5118 ± 0.0131 [95% CI: 0.5013, 0.5223]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.6770 ± 0.0114,"0.6770 ± 0.0114 [95% CI: 0.6679, 0.6861]",0.6847 ± 0.0117,"0.6847 ± 0.0117 [95% CI: 0.6753, 0.6941]",0.8112 ± 0.0134,"0.8112 ± 0.0134 [95% CI: 0.8004, 0.8219]",0.0619 ± 0.0125,"0.0619 ± 0.0125 [95% CI: 0.0519, 0.0719]",0.7077 ± 0.0228,"0.7077 ± 0.0228 [95% CI: 0.6895, 0.7260]",0.9105 ± 0.0380,"0.9105 ± 0.0380 [95% CI: 0.8801, 0.9410]",0.0122 ± 0.0003,"0.0122 ± 0.0003 [95% CI: 0.0119, 0.0124]",42.04,"[95% CI: 42.04, 42.04]",14.24,"[95% CI: 13.55, 14.93]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,2,0.7000,False,20,0.0000,3,0.6693 ± 0.0806,"0.6693 ± 0.0806 [95% CI: 0.5781, 0.7606]",0.2035 ± 0.1874,"0.2035 ± 0.1874 [95% CI: -0.0086, 0.4156]",NaN,NaN,NaN,NaN,NaN,NaN,0.6693 ± 0.0806,"0.6693 ± 0.0806 [95% CI: 0.5781, 0.7606]",0.7965 ± 0.1874,"0.7965 ± 0.1874 [95% CI: 0.5844, 1.0086]",NaN,NaN,0.7258 ± 0.1252,"0.7258 ± 0.1252 [95% CI: 0.5842, 0.8675]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020 ± 0.0002,"0.0020 ± 0.0002 [95% CI: 0.0017, 0.0022]",341.30,"[95% CI: 341.30, 341.30]",1.21,"[95% CI: 1.15, 1.26]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,0,0.0000,6,0.6840 ± 0.0429,"0.6840 ± 0.0429 [95% CI: 0.6497, 0.7184]",0.2024 ± 0.0406,"0.2024 ± 0.0406 [95% CI: 0.1699, 0.2349]",NaN,NaN,NaN,NaN,NaN,NaN,0.6840 ± 0.0429,"0.6840 ± 0.0429 [95% CI: 0.6497, 0.7184]",0.7976 ± 0.0406,"0.7976 ± 0.0406 [95% CI: 0.7651, 0.8301]",NaN,NaN,0.7364 ± 0.0422,"0.7364 ± 0.0422 [95% CI: 0.7027, 0.7702]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",21331.03,"[95% CI: 21331.03, 21331.03]",16.24,"[95% CI: 15.74, 16.74]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar10,TRUE_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.6885 ± 0.0489,"0.6885 ± 0.0489 [95% CI: 0.6493, 0.7276]",0.2240 ± 0.0383,"0.2240 ± 0.0383 [95% CI: 0.1933, 0.2547]",-0.1819 ± 0.0296,"-0.1819 ± 0.0296 [95% CI: -0.2056, -0.1583]",-0.3810 ± 0.1127,"-0.3810 ± 0.1127 [95% CI: -0.4712, -0.2908]",0.1819 ± 0.0296,"0.1819 ± 0.0296 [95% CI: 0.1583, 0.2056]",0.6885 ± 0.0489,"0.6885 ± 0.0489 [95% CI: 0.6493, 0.7276]",0.7760 ± 0.0383,"0.7760 ± 0.0383 [95% CI: 0.7453, 0.8067]",0.8181 ± 0.0296,"0.8181 ± 0.0296 [95% CI: 0.7944, 0.8417]",0.7295 ± 0.0435,"0.7295 ± 0.0435 [95% CI: 0.6947, 0.7643]",0.7417 ± 0.0389,"0.7417 ± 0.0389 [95% CI: 0.7106, 0.7728]",0.8188 ± 0.0211,"0.8188 ± 0.0211 [95% CI: 0.8019, 0.8357]",0.0709 ± 0.0059,"0.0709 ± 0.0059 [95% CI: 0.0661, 0.0756]",0.6870 ± 0.0170,"0.6870 ± 0.0170 [95% CI: 0.6734, 0.7006]",0.9274 ± 0.0283,"0.9274 ± 0.0283 [95% CI: 0.9048, 0.9501]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",21331.03,"[95% CI: 21331.03, 21331.03]",28.35,"[95% CI: 27.83, 28.88]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,EWC,FEDAVG,current,16,NA,NA,False,False,True,2,0.7000,False,20,0.0000,3,0.2307 ± 0.0142,"0.2307 ± 0.0142 [95% CI: 0.2146, 0.2467]",0.0707 ± 0.0614,"0.0707 ± 0.0614 [95% CI: 0.0012, 0.1402]",-0.0323 ± 0.0359,"-0.0323 ± 0.0359 [95% CI: -0.0729, 0.0083]",-0.1000 ± 0.0000,"-0.1000 ± 0.0000 [95% CI: -0.1000, -0.1000]",0.0353 ± 0.0307,"0.0353 ± 0.0307 [95% CI: 0.0006, 0.0701]",0.2307 ± 0.0142,"0.2307 ± 0.0142 [95% CI: 0.2146, 0.2467]",0.9293 ± 0.0614,"0.9293 ± 0.0614 [95% CI: 0.8598, 0.9988]",0.9647 ± 0.0307,"0.9647 ± 0.0307 [95% CI: 0.9299, 0.9994]",0.3695 ± 0.0213,"0.3695 ± 0.0213 [95% CI: 0.3453, 0.3936]",0.3722 ± 0.0199,"0.3722 ± 0.0199 [95% CI: 0.3497, 0.3948]",0.3051 ± 0.0217,"0.3051 ± 0.0217 [95% CI: 0.2805, 0.3296]",0.0222 ± 0.0060,"0.0222 ± 0.0060 [95% CI: 0.0154, 0.0290]",0.2828 ± 0.0179,"0.2828 ± 0.0179 [95% CI: 0.2626, 0.3031]",0.3273 ± 0.0264,"0.3273 ± 0.0264 [95% CI: 0.2974, 0.3571]",0.0007 ± 0.0000,"0.0007 ± 0.0000 [95% CI: 0.0006, 0.0007]",342.71,"[95% CI: 342.71, 342.71]",0.70,"[95% CI: 0.66, 0.74]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
